"observed" "WinF" "WinNF" "Veh" "Con" "Tabl" "Head"
"1" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"2" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"3" "WinF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"4" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"5" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"6" "WinF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"7" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"8" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"9" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"10" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"11" "WinF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"12" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"13" "WinF" 0.214285714285714 0.285714285714286 0.5 0 0 0
"14" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"15" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"16" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"17" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"18" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"19" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"20" "WinF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"21" "WinF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"22" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"23" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"24" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"25" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"26" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"27" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"28" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"29" "WinF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"30" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"31" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"32" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"33" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"34" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"35" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"36" "WinF" 0.214285714285714 0.285714285714286 0.5 0 0 0
"37" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"38" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"39" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"40" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"41" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"42" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"43" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"44" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"45" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"46" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"47" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"48" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"49" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"50" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"51" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"52" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"53" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"54" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"55" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"56" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"57" "WinF" 0.214285714285714 0.285714285714286 0.5 0 0 0
"58" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"59" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"60" "WinF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"61" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"62" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"63" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"64" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"65" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"66" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"67" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"68" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"69" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"70" "WinF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"71" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"72" "WinNF" 0 1 0 0 0 0
"73" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"74" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"75" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"76" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"77" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"78" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"79" "WinNF" 0.214285714285714 0.285714285714286 0.5 0 0 0
"80" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"81" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"82" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"83" "WinNF" 0.214285714285714 0.285714285714286 0.5 0 0 0
"84" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"85" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"86" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"87" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"88" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"89" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"90" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"91" "WinNF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"92" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"93" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"94" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"95" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"96" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"97" "WinNF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"98" "WinNF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"99" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"100" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"101" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"102" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"103" "WinNF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"104" "WinNF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"105" "WinNF" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"106" "WinNF" 0 0.25 0 0.75 0 0
"107" "WinNF" 0 0.25 0 0.75 0 0
"108" "WinNF" 0 0.875 0 0 0 0.125
"109" "WinNF" 0 0.166666666666667 0 0 0.75 0.0833333333333333
"110" "WinNF" 0 0.875 0 0 0 0.125
"111" "WinNF" 0 0.875 0 0 0 0.125
"112" "WinNF" 0 0.875 0 0 0 0.125
"113" "WinNF" 0 0.875 0 0 0 0.125
"114" "WinNF" 0 1 0 0 0 0
"115" "WinNF" 0 1 0 0 0 0
"116" "WinNF" 0 1 0 0 0 0
"117" "WinNF" 0 1 0 0 0 0
"118" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"119" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"120" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"121" "WinNF" 0 1 0 0 0 0
"122" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"123" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"124" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"125" "WinNF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"126" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"127" "WinNF" 0.214285714285714 0.285714285714286 0.5 0 0 0
"128" "WinNF" 0 0.25 0 0.75 0 0
"129" "WinNF" 0 0.25 0 0.75 0 0
"130" "WinNF" 0 0.166666666666667 0 0 0.75 0.0833333333333333
"131" "WinNF" 0 0.875 0 0 0 0.125
"132" "WinNF" 0 0.875 0 0 0 0.125
"133" "WinNF" 0 1 0 0 0 0
"134" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"135" "WinNF" 0 1 0 0 0 0
"136" "WinNF" 0 1 0 0 0 0
"137" "WinNF" 0 1 0 0 0 0
"138" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"139" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"140" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"141" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"142" "WinNF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"143" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"144" "WinNF" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"145" "WinNF" 0.214285714285714 0.285714285714286 0.5 0 0 0
"146" "WinNF" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"147" "Veh" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"148" "Veh" 0.214285714285714 0.285714285714286 0.5 0 0 0
"149" "Veh" 0.214285714285714 0.285714285714286 0.5 0 0 0
"150" "Veh" 0.214285714285714 0.285714285714286 0.5 0 0 0
"151" "Veh" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"152" "Veh" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"153" "Veh" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"154" "Veh" 0.214285714285714 0.285714285714286 0.5 0 0 0
"155" "Veh" 0.214285714285714 0.285714285714286 0.5 0 0 0
"156" "Veh" 0.214285714285714 0.285714285714286 0.5 0 0 0
"157" "Veh" 0.214285714285714 0.285714285714286 0.5 0 0 0
"158" "Veh" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"159" "Veh" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"160" "Veh" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"161" "Veh" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"162" "Veh" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"163" "Veh" 0.714285714285714 0.0714285714285714 0.214285714285714 0 0 0
"164" "Con" 0 0 0 0.04 0 0.96
"165" "Con" 0 0.25 0 0.75 0 0
"166" "Con" 0 0.25 0 0.75 0 0
"167" "Con" 0 0.25 0 0.75 0 0
"168" "Con" 0 0.25 0 0.75 0 0
"169" "Con" 0 0.25 0 0.75 0 0
"170" "Con" 0 0.25 0 0.75 0 0
"171" "Con" 0 0.25 0 0.75 0 0
"172" "Con" 0 0.25 0 0.75 0 0
"173" "Con" 0 0.25 0 0.75 0 0
"174" "Con" 0 0.25 0 0.75 0 0
"175" "Con" 0 0.25 0 0.75 0 0
"176" "Con" 0 0.25 0 0.75 0 0
"177" "Tabl" 0 0.166666666666667 0 0 0.75 0.0833333333333333
"178" "Tabl" 0 0.166666666666667 0 0 0.75 0.0833333333333333
"179" "Tabl" 0 0.166666666666667 0 0 0.75 0.0833333333333333
"180" "Tabl" 0 0.166666666666667 0 0 0.75 0.0833333333333333
"181" "Tabl" 0 0.166666666666667 0 0 0.75 0.0833333333333333
"182" "Tabl" 0 0.166666666666667 0 0 0.75 0.0833333333333333
"183" "Tabl" 0 0.166666666666667 0 0 0.75 0.0833333333333333
"184" "Tabl" 0 0.166666666666667 0 0 0.75 0.0833333333333333
"185" "Tabl" 0 0.166666666666667 0 0 0.75 0.0833333333333333
"186" "Head" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"187" "Head" 0.115384615384615 0.769230769230769 0.0769230769230769 0 0 0.0384615384615385
"188" "Head" 0.836734693877551 0.142857142857143 0 0 0 0.0204081632653061
"189" "Head" 0 0.166666666666667 0 0 0.75 0.0833333333333333
"190" "Head" 0 0 0 0.04 0 0.96
"191" "Head" 0 0 0 0.04 0 0.96
"192" "Head" 0 0 0 0.04 0 0.96
"193" "Head" 0 0 0 0.04 0 0.96
"194" "Head" 0 0 0 0.04 0 0.96
"195" "Head" 0 0 0 0.04 0 0.96
"196" "Head" 0 0 0 0.04 0 0.96
"197" "Head" 0 0 0 0.04 0 0.96
"198" "Head" 0 0 0 0.04 0 0.96
"199" "Head" 0 0 0 0.04 0 0.96
"200" "Head" 0 0 0 0.04 0 0.96
"201" "Head" 0 0 0 0.04 0 0.96
"202" "Head" 0 0.875 0 0 0 0.125
"203" "Head" 0 0 0 0.04 0 0.96
"204" "Head" 0 0 0 0.04 0 0.96
"205" "Head" 0 0 0 0.04 0 0.96
"206" "Head" 0 0 0 0.04 0 0.96
"207" "Head" 0 0 0 0.04 0 0.96
"208" "Head" 0 0 0 0.04 0 0.96
"209" "Head" 0 0 0 0.04 0 0.96
"210" "Head" 0 0 0 0.04 0 0.96
"211" "Head" 0 0 0 0.04 0 0.96
"212" "Head" 0 0 0 0.04 0 0.96
"213" "Head" 0 0 0 0.04 0 0.96
