"observed" "predicted"
"1" "0" 0.26184254779443
"2" "0" 0.00380913410144982
"3" "0" 0.321677006839984
"4" "0" 0.524681727434473
"5" "0" 0.327251730482903
"6" "0" 0.179129374907245
"7" "0" 0.123085109644385
"8" "0" 0.226791593722603
"9" "0" 0.131318297822531
"10" "0" 0.464952302283684
"11" "0" 0.253027466251894
"12" "0" 0.0865426590537234
"13" "0" 0.770260333528018
"14" "0" 0.449343707267034
"15" "0" 0.3822784517639
"16" "0" 0.3822784517639
"17" "0" 0.190648249978874
"18" "0" 0.206074521054498
"19" "0" 0.574986211131229
"20" "0" 0.149065507151179
"21" "0" 0.0105776813587371
"22" "0" 0.123843481411173
"23" "0" 0.00751859654844662
"24" "0" 0.286591788043499
"25" "0" 0.413137464705569
"26" "0" 0.133598922541858
"27" "0" 0.268229511524883
"28" "0" 0.0159424996990191
"29" "0" 0.220816857416213
"30" "0" 0.193060852961418
"31" "0" 0.193060852961418
"32" "0" 0.684533978800258
"33" "0" 0.308742579587741
"34" "0" 0.0485138450436665
"35" "0" 0.224353429567201
"36" "0" 0.0415298260762608
"37" "0" 0.563840707889609
"38" "0" 0.428253477568856
"39" "0" 0.00478316340495947
"40" "0" 0.124631973059061
"41" "0" 0.202339561888927
"42" "0" 0.1733196651837
"43" "0" 0.0915969356825695
"44" "0" 0.0948615247642624
"45" "0" 0.407500511127207
"46" "0" 0.407500511127207
"47" "0" 0.00847206127903622
"48" "0" 0.137487636675909
"49" "0" 0.150308558747987
"50" "0" 0.531920397368761
"51" "0" 0.51534931323224
"52" "0" 0.189591025305376
"53" "0" 0.312402717809349
"54" "0" 0.0719138649496634
"55" "0" 0.183924461578509
"56" "0" 0.165932189001328
"57" "0" 0.364672096538307
"58" "0" 0.192598704613336
"59" "0" 0.236860031223215
"60" "0" 0.151543027214246
"61" "0" 0.151543027214246
"62" "0" 0.18570266631091
"63" "0" 0.266896755412734
"64" "0" 0.210910423628953
"65" "0" 0.733498255728962
"66" "0" 0.633876502944091
"67" "0" 0.150308558747987
"68" "0" 0.00640395616745807
"69" "0" 0.753861712469654
"70" "0" 0.406875395446774
"71" "0" 0.757333012478498
"72" "0" 0.0177468432219946
"73" "0" 0.229938546573611
"74" "0" 0.160369600013437
"75" "0" 0.206852012394373
"76" "0" 0.0200751393118814
"77" "0" 0.0647314003762375
